age_rating,film_length,meta_Data,name,occurrence,plot,rating,release_year
PG-13,3h 14m,,Titanic,,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",7.9,1997
PG,1h 55m,,E.T. the Extra-Terrestrial,,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,7.9,1982
G,1h 42m,,The Wizard of Oz,,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",8.1,1939
PG,2h 1m,,Star Wars: Episode IV - A New Hope,,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",8.6,1977
PG-13,3h 21m,,The Lord of the Rings: The Return of the King,,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9.0,2003
Approved,1h 23m,,Snow White and the Seven Dwarfs,,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",7.6,1937
R,2h 17m,,Terminator 2: Judgment Day,,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",8.6,1991
G,1h 28m,,The Lion King,,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,1994
R,2h 55m,,The Godfather,,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2,1972
G,1h 57m,,The Jesus Film,,"Filmed on location in Israel at authentic biblical sites, this inspirational drama and commercial success retells the life of Christ.",7.1,1979
PG-13,2h 7m,,Jurassic Park,,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",8.2,1993
PG,1h 55m,,Raiders of the Lost Ark,,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",8.4,1981
PG,2h 32m,,Harry Potter and the Sorcerer's Stone,,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6,2001
R,2h 22m,,The Shawshank Redemption,,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",9.3,1994
R,3h 15m,,Schindler's List,,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9.0,1993
R,2h 9m,,Raging Bull,,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",8.1,1980
PG,1h 42m,,Casablanca,,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,8.5,1942
